Sensor n. 01  Type: Barometer[161]  s/n:18104414  Batt:100%
Sensor n. 02  Type: AquaTR100[10]  s/n:630411  Batt:88%
Sensor n. 03  Type: AquaTR100[10]  s/n:630415  Batt:88%
Sensor n. 04  Type: AquaTR100[10]  s/n:630427  Batt:89%
Record n,Date,Time,Sensor n,Pressure(mBar)[2:21],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129]
116,26/01/2019,06:00,01,1031.200,02,26537.386,9.701,37493.612,23.453,24.371,37.683,1.018,03,33642.512,10.825,46132.984,29.600,29.986,29.724,1.023,04,34138.576,10.869,46759.080,30.050,30.393,29.292,1.023
117,26/01/2019,07:00,01,1031.100,02,27507.846,9.897,38659.720,24.274,25.129,36.353,1.019,03,31354.688,10.454,43417.472,27.642,28.221,31.893,1.021,04,32629.928,10.657,44941.840,28.738,29.212,30.647,1.022
118,26/01/2019,08:00,01,1031.400,02,30314.958,10.331,42114.000,26.716,27.374,32.987,1.020,03,32068.528,10.533,44312.760,28.281,28.803,31.183,1.022,04,33224.536,10.712,45694.672,29.277,29.702,30.098,1.022
119,26/01/2019,09:00,01,1031.600,02,30298.538,10.306,42120.104,26.717,27.378,33.005,1.020,03,31174.358,10.426,43199.716,27.486,28.080,32.078,1.021,04,32476.410,10.622,44771.524,28.614,29.101,30.792,1.022
120,26/01/2019,10:00,01,1031.500,02,28269.988,10.015,39605.400,24.938,25.744,35.373,1.019,03,30725.158,10.396,42610.940,27.070,27.697,32.547,1.021,04,31397.310,10.515,43406.092,27.715,28.283,31.771,1.021
121,26/01/2019,11:00,01,1031.800,02,25880.910,9.992,36281.340,22.645,23.583,38.639,1.017,03,27466.872,10.005,38490.716,24.166,25.019,36.407,1.019,04,29064.250,10.158,40562.872,25.617,26.366,34.407,1.020
122,26/01/2019,12:00,01,1030.900,02,24803.360,9.993,34769.488,21.612,22.600,40.317,1.017,03,25721.962,10.004,36046.732,22.485,23.430,38.877,1.017,04,28656.602,10.123,40031.284,25.244,26.020,34.896,1.019
123,26/01/2019,13:00,01,1030.100,02,25321.322,10.068,35424.608,22.065,23.026,39.492,1.017,03,25628.996,10.069,35854.348,22.359,23.305,39.018,1.017,04,27309.100,10.162,38110.064,23.917,24.772,36.618,1.018
124,26/01/2019,14:00,01,1028.900,02,24593.528,10.183,34300.904,21.307,22.296,40.661,1.016,03,29123.008,10.266,40528.800,25.603,26.344,34.337,1.020,04,30804.110,10.503,42599.700,27.072,27.690,32.463,1.021
125,26/01/2019,15:00,01,1028.200,02,25118.698,10.268,34954.432,21.759,22.720,39.811,1.017,03,30606.360,10.485,42346.452,26.893,27.525,32.673,1.021,04,32894.698,10.728,45222.164,28.944,29.394,30.400,1.022
126,26/01/2019,16:00,01,1027.400,02,28556.058,10.368,39632.004,24.988,25.761,35.019,1.019,03,31953.108,10.667,43998.532,28.072,28.599,31.296,1.021,04,33705.684,10.839,46201.760,29.650,30.031,29.669,1.023
127,26/01/2019,17:00,01,1027.300,02,28588.988,10.372,39674.048,25.018,25.788,34.979,1.019,03,33405.250,10.754,45892.732,29.422,29.830,29.935,1.022,04,33866.628,10.828,46435.692,29.816,30.183,29.528,1.023
128,26/01/2019,18:00,01,1027.800,02,27740.522,10.425,38442.128,24.169,24.987,36.048,1.018,03,30989.886,10.611,42734.096,27.177,27.777,32.269,1.021,04,32825.098,10.712,45144.896,28.887,29.344,30.464,1.022
129,26/01/2019,19:00,01,1027.700,02,27825.676,10.398,38587.376,24.267,25.082,35.938,1.019,03,28528.712,10.497,39459.348,24.880,25.649,35.052,1.019,04,32195.936,10.713,44278.320,28.274,28.781,31.060,1.022
130,26/01/2019,20:00,01,1027.200,02,27965.208,10.450,38727.372,24.368,25.173,35.759,1.019,03,28785.526,10.503,39808.012,25.122,25.875,34.740,1.019,04,30811.550,10.665,42428.172,26.967,27.578,32.455,1.021
131,26/01/2019,21:00,01,1027.100,02,26731.832,10.310,37156.964,23.272,24.152,37.409,1.018,03,28370.250,10.455,39283.436,24.754,25.534,35.248,1.019,04,30526.922,10.627,42078.296,26.718,27.351,32.758,1.020
132,26/01/2019,22:00,01,1026.700,02,24967.080,10.087,34911.424,21.716,22.692,40.053,1.017,03,26097.868,10.205,36377.596,22.728,23.645,38.317,1.017,04,28594.176,10.498,39548.512,24.942,25.707,34.972,1.019
133,26/01/2019,23:00,01,1026.700,02,21553.442,9.848,30331.582,18.602,19.716,46.396,1.014,03,23713.508,10.024,33213.908,20.557,21.589,42.170,1.016,04,27165.302,10.318,37752.136,23.683,24.539,36.812,1.018
134,27/01/2019,00:00,01,1027.000,02,20581.288,9.767,29026.550,17.724,18.867,48.588,1.014,03,24122.066,10.058,33755.564,20.927,21.941,41.456,1.016,04,27437.482,10.347,38101.088,23.926,24.766,36.446,1.018
135,27/01/2019,01:00,01,1026.700,02,21656.978,9.891,30442.216,18.679,19.787,46.174,1.014,03,23697.182,10.067,33153.262,20.519,21.550,42.199,1.016,04,26800.160,10.306,37256.296,23.340,24.217,37.313,1.018
136,27/01/2019,02:00,01,1027.000,02,20830.492,9.797,29354.450,17.945,19.080,48.007,1.014,03,28607.246,10.367,39704.692,25.039,25.808,34.956,1.019,04,30278.516,10.557,41813.512,26.526,27.179,33.027,1.020
137,27/01/2019,03:00,01,1027.000,02,23487.178,9.917,32991.328,20.398,21.444,42.576,1.016,03,31240.072,10.619,43070.692,27.414,27.996,32.010,1.021,04,33133.416,10.771,45498.316,29.144,29.574,30.181,1.022
138,27/01/2019,04:00,01,1026.200,02,23718.636,9.986,33254.822,20.582,21.616,42.161,1.016,03,33011.610,10.755,45351.064,29.038,29.478,30.292,1.022,04,34393.088,10.874,47101.152,30.294,30.616,29.076,1.023
139,27/01/2019,05:00,01,1026.600,02,27087.490,10.249,37713.292,23.650,24.514,36.917,1.018,03,33688.984,10.784,46245.824,29.676,30.060,29.683,1.023,04,34399.172,10.875,47108.152,30.299,30.620,29.070,1.023
140,27/01/2019,06:00,01,1026.600,02,25711.048,10.093,35945.888,22.423,23.365,38.894,1.017,03,33425.016,10.801,45862.824,29.405,29.811,29.918,1.022,04,34267.564,10.865,46940.900,30.179,30.512,29.182,1.023
141,27/01/2019,07:00,01,1027.200,02,27558.938,9.897,38731.436,24.323,25.175,36.286,1.019,03,32015.870,10.513,44263.300,28.244,28.771,31.235,1.022,04,33927.200,10.782,46575.500,29.910,30.274,29.475,1.023
142,27/01/2019,08:00,01,1027.400,02,28144.098,10.045,39397.684,24.797,25.608,35.531,1.019,03,31191.978,10.386,43269.280,27.531,28.125,32.060,1.021,04,32547.770,10.597,44898.964,28.702,29.184,30.724,1.022
143,27/01/2019,09:00,01,1027.600,02,28877.078,10.149,40312.144,25.441,26.203,34.630,1.019,03,32160.576,10.519,44456.280,28.381,28.897,31.094,1.022,04,33382.448,10.706,45919.592,29.436,29.848,29.956,1.022
144,27/01/2019,10:00,01,1027.600,02,27850.938,10.045,38987.512,24.513,25.342,35.905,1.019,03,30718.300,10.331,42675.152,27.109,27.739,32.554,1.021,04,31639.370,10.482,43779.560,27.900,28.457,31.606,1.021
145,27/01/2019,11:00,01,1027.500,02,28251.970,10.097,39493.816,24.868,25.671,35.396,1.019,03,29715.200,10.220,41403.552,26.208,26.912,33.653,1.020,04,30919.766,10.423,42850.624,27.241,27.853,32.342,1.021
146,27/01/2019,12:00,01,1026.700,02,26301.112,10.109,36754.596,22.979,23.890,38.021,1.018,03,27760.062,10.085,38818.296,24.400,25.232,36.023,1.019,04,28725.188,10.199,40046.144,25.261,26.030,34.813,1.019
147,27/01/2019,13:00,01,1026.300,02,25431.808,10.266,35391.704,22.058,23.005,39.321,1.017,03,26697.136,10.174,37243.596,23.321,24.208,37.457,1.018,04,28537.776,10.177,39807.832,25.094,25.875,35.041,1.019
148,27/01/2019,13:30,01,1026.400,02,26360.200,10.099,36847.752,23.042,23.951,37.936,1.018,03,27561.276,10.091,38534.640,24.204,25.048,36.283,1.019,04,28752.082,10.200,40082.252,25.286,26.053,34.780,1.019
149,27/01/2019,14:00,01,1025.600,02,26192.372,10.173,36540.764,22.838,23.751,38.179,1.017,03,26322.098,10.138,36755.424,22.982,23.891,37.991,1.018,04,28085.450,10.208,39144.512,24.636,25.444,35.606,1.019
150,27/01/2019,14:30,01,1025.600,02,26412.948,10.218,36804.424,23.022,23.923,37.860,1.018,03,27328.778,10.161,38138.040,23.936,24.790,36.591,1.018,04,28463.512,10.240,39638.608,24.982,25.765,35.133,1.019
151,27/01/2019,15:00,01,1025.500,02,26345.358,10.276,36653.012,22.923,23.824,37.957,1.018,03,27851.770,10.221,38806.196,24.403,25.224,35.904,1.019,04,29145.920,10.325,40496.744,25.586,26.323,34.310,1.020
152,27/01/2019,15:30,01,1025.400,02,26324.132,10.381,36522.232,22.841,23.739,37.988,1.017,03,29334.286,10.390,40688.744,25.725,26.448,34.090,1.020,04,31184.062,10.576,43094.040,27.427,28.011,32.029,1.021
153,27/01/2019,16:00,01,1025.100,02,26777.372,10.353,37178.528,23.291,24.166,37.345,1.018,03,30303.890,10.446,41971.356,26.626,27.281,32.999,1.020,04,31864.762,10.681,43860.640,27.976,28.509,31.383,1.021
154,27/01/2019,16:30,01,1024.900,02,26428.676,10.380,36667.896,22.941,23.834,37.838,1.018,03,31081.970,10.575,42902.756,27.292,27.887,32.173,1.021,04,33673.732,10.853,46141.332,29.609,29.992,29.697,1.023
155,27/01/2019,17:00,01,1024.800,02,27328.002,10.392,37903.216,23.793,24.637,36.593,1.018,03,29404.420,10.510,40656.404,25.714,26.427,34.008,1.020,04,34052.824,10.903,46599.496,29.940,30.290,29.366,1.023
156,27/01/2019,17:30,01,1024.800,02,27935.112,10.405,38732.188,24.368,25.176,35.797,1.019,03,32040.410,10.701,44078.572,28.132,28.651,31.211,1.021,04,34340.688,10.928,46962.864,30.201,30.526,29.120,1.023
157,27/01/2019,18:00,01,1024.800,02,28355.728,10.415,39305.152,24.766,25.548,35.266,1.019,03,33725.932,10.793,46285.800,29.705,30.086,29.651,1.023,04,34030.784,10.889,46586.780,29.929,30.281,29.385,1.023
158,27/01/2019,18:30,01,1024.600,02,29977.248,10.445,41519.872,26.311,26.988,33.359,1.020,03,33281.940,10.785,45686.192,29.278,29.696,30.046,1.022,04,34128.636,10.902,46705.232,30.015,30.358,29.301,1.023
159,27/01/2019,19:00,01,1024.500,02,25900.058,10.125,36179.392,22.586,23.517,38.610,1.017,03,31897.328,10.698,43885.420,27.996,28.526,31.351,1.021,04,34280.084,10.903,46911.392,30.162,30.492,29.171,1.023
160,27/01/2019,19:30,01,1024.700,02,27527.382,10.273,38300.964,24.058,24.896,36.327,1.018,03,30241.512,10.541,41779.684,26.501,27.157,33.067,1.020,04,33990.160,10.889,46531.720,29.890,30.246,29.420,1.023
161,27/01/2019,20:00,01,1024.600,02,27340.262,10.335,37977.808,23.840,24.686,36.576,1.018,03,30285.352,10.588,41787.952,26.511,27.162,33.019,1.020,04,31987.222,10.726,43976.920,28.063,28.585,31.262,1.021
162,27/01/2019,20:30,01,1024.600,02,27219.512,10.228,37917.936,23.790,24.647,36.738,1.018,03,29597.220,10.506,40926.948,25.902,26.603,33.787,1.020,04,31382.450,10.704,43170.120,27.492,28.061,31.865,1.021
163,27/01/2019,21:00,01,1024.400,02,27249.440,10.249,37938.592,23.806,24.660,36.698,1.018,03,29071.676,10.486,40222.316,25.409,26.145,34.398,1.019,04,31281.060,10.672,43066.924,27.417,27.994,31.968,1.021
164,27/01/2019,21:30,01,1024.600,02,27847.362,10.371,38644.956,24.304,25.119,35.910,1.019,03,28945.836,10.474,40060.420,25.295,26.039,34.547,1.019,04,31007.278,10.684,42676.044,27.143,27.739,32.250,1.021
165,27/01/2019,22:00,01,1024.300,02,27929.948,10.362,38768.808,24.389,25.200,35.804,1.019,03,28745.248,10.460,39797.372,25.111,25.868,34.788,1.019,04,30035.198,10.589,41442.016,26.269,26.937,33.294,1.020
166,27/01/2019,22:30,01,1024.400,02,26398.182,10.119,36880.912,23.067,23.973,37.881,1.018,03,28276.702,10.409,39201.712,24.693,25.481,35.365,1.019,04,29273.702,10.534,40449.636,25.572,26.292,34.160,1.020
167,27/01/2019,23:00,01,1024.500,02,26071.632,10.171,36374.284,22.723,23.643,38.356,1.017,03,27141.510,10.264,37772.728,23.693,24.552,36.844,1.018,04,29100.046,10.491,40255.360,25.433,26.166,34.364,1.019
168,27/01/2019,23:30,01,1024.500,02,26054.140,10.192,36329.064,22.694,23.614,38.382,1.017,03,26835.248,10.213,37397.636,23.430,24.308,37.264,1.018,04,27836.952,10.354,38647.916,24.305,25.121,35.923,1.019
169,28/01/2019,00:00,01,1024.600,02,24742.326,10.020,34658.640,21.538,22.528,40.417,1.016,03,26331.720,10.211,36697.796,22.948,23.854,37.977,1.018,04,27479.796,10.310,38197.560,23.990,24.828,36.390,1.018
170,28/01/2019,00:30,01,1024.500,02,24411.778,9.979,34233.652,21.246,22.252,40.964,1.016,03,25834.482,10.171,36043.076,22.496,23.428,38.708,1.017,04,28586.998,10.454,39584.916,24.963,25.730,34.981,1.019
171,28/01/2019,01:00,01,1024.000,02,23456.532,9.843,33014.338,20.408,21.459,42.632,1.016,03,26738.360,10.251,37225.020,23.314,24.196,37.399,1.018,04,28778.096,10.489,39812.696,25.124,25.878,34.749,1.019
172,28/01/2019,01:30,01,1023.900,02,23154.782,9.809,32619.086,20.139,21.202,43.188,1.015,03,26414.790,10.219,36806.112,23.024,23.924,37.858,1.018,04,28398.926,10.407,39373.032,24.812,25.592,35.213,1.019
173,28/01/2019,02:00,01,1023.900,02,25602.530,10.099,35788.548,22.316,23.263,39.059,1.017,03,26144.352,10.151,36495.060,22.804,23.722,38.249,1.017,04,27505.416,10.327,38215.396,24.004,24.840,36.356,1.018
174,28/01/2019,02:30,01,1023.900,02,24264.692,9.988,34019.336,21.101,22.113,41.212,1.016,03,27251.300,10.233,37957.588,23.818,24.672,36.695,1.018,04,28805.612,10.430,39912.660,25.189,25.943,34.715,1.019
175,28/01/2019,03:00,01,1023.700,02,24770.746,9.963,34751.356,21.597,22.588,40.370,1.017,03,28531.898,10.322,39646.604,24.994,25.770,35.048,1.019,04,30985.746,10.617,42721.632,27.169,27.769,32.273,1.021
176,28/01/2019,03:30,01,1023.200,02,24001.316,9.847,33777.500,20.926,21.955,41.664,1.016,03,29661.686,10.461,41065.764,25.995,26.693,33.714,1.020,04,33781.124,10.839,46306.060,29.724,30.099,29.602,1.023
177,28/01/2019,04:00,01,1023.100,02,23686.902,9.770,33403.940,20.667,21.713,42.217,1.016,03,31571.626,10.602,43546.892,27.748,28.305,31.674,1.021,04,33603.544,10.814,46092.692,29.570,29.960,29.759,1.023
178,28/01/2019,04:30,01,1023.200,02,24215.610,9.830,34094.464,21.140,22.161,41.296,1.016,03,31424.020,10.598,43348.220,27.607,28.176,31.823,1.021,04,34104.388,10.861,46721.956,30.023,30.369,29.322,1.023
179,28/01/2019,05:00,01,1023.100,02,26342.646,10.019,36901.156,23.073,23.986,37.961,1.018,03,32759.296,10.703,45065.704,28.830,29.293,30.526,1.022,04,34707.800,10.928,47464.696,30.560,30.852,28.812,1.023
180,28/01/2019,05:30,01,1022.800,02,27353.252,10.184,38148.624,23.945,24.797,36.559,1.018,03,32892.470,10.715,45234.472,28.951,29.402,30.402,1.022,04,34666.088,10.917,47422.340,30.528,30.825,28.847,1.023
181,28/01/2019,06:00,01,1022.600,02,27321.550,10.247,38040.284,23.876,24.726,36.601,1.018,03,33275.590,10.803,45655.396,29.258,29.676,30.052,1.022,04,34599.504,10.914,47334.512,30.465,30.767,28.902,1.023
182,28/01/2019,06:30,01,1022.500,02,31454.122,10.483,43521.420,27.718,28.289,31.792,1.021,03,33773.184,10.835,46299.440,29.719,30.095,29.609,1.023,04,34598.692,10.918,47327.992,30.461,30.763,28.903,1.023
183,28/01/2019,07:00,01,1022.500,02,27302.552,10.032,38232.636,23.990,24.851,36.627,1.018,03,33010.270,10.714,45397.776,29.067,29.509,30.294,1.022,04,34414.552,10.888,47113.376,30.305,30.624,29.057,1.023
184,28/01/2019,07:30,01,1022.300,02,28162.238,10.009,39461.144,24.838,25.650,35.509,1.019,03,31463.410,10.467,43552.304,27.738,28.309,31.783,1.021,04,33738.452,10.848,46235.756,29.675,30.053,29.640,1.023
185,28/01/2019,08:00,01,1022.200,02,27447.728,9.877,38595.952,24.228,25.087,36.433,1.019,03,30988.640,10.426,42941.840,27.305,27.912,32.270,1.021,04,33340.146,10.788,45762.796,29.333,29.746,29.994,1.022
186,28/01/2019,08:30,01,1022.100,02,29128.310,10.060,40759.004,25.744,26.493,34.331,1.020,03,31307.278,10.407,43405.812,27.629,28.214,31.941,1.021,04,31889.910,10.510,44092.524,28.123,28.660,31.358,1.022
187,28/01/2019,09:00,01,1022.100,02,28413.670,9.967,39858.644,25.110,25.908,35.194,1.019,03,30858.702,10.366,42830.592,27.221,27.840,32.406,1.021,04,31489.216,10.440,43619.404,27.783,28.353,31.757,1.021
188,28/01/2019,09:30,01,1022.200,02,29719.658,10.185,41448.452,26.236,26.941,33.648,1.020,03,31368.440,10.399,43499.156,27.694,28.274,31.879,1.021,04,32140.762,10.499,44452.904,28.376,28.894,31.113,1.022
189,28/01/2019,10:00,01,1021.900,02,29045.826,10.061,40642.592,25.663,26.418,34.428,1.020,03,31097.962,10.390,43134.984,27.437,28.038,32.156,1.021,04,32052.620,10.530,44294.816,28.268,28.792,31.199,1.022
190,28/01/2019,10:30,01,1022.200,02,29237.848,10.134,40831.996,25.802,26.541,34.202,1.020,03,30898.690,10.342,42913.120,27.277,27.894,32.364,1.021,04,31810.966,10.478,44020.624,28.069,28.613,31.436,1.021
191,28/01/2019,11:00,01,1022.300,02,29095.472,10.081,40690.036,25.698,26.449,34.370,1.020,03,29797.498,10.173,41569.952,26.320,27.020,33.560,1.020,04,30858.228,10.321,42880.704,27.252,27.872,32.406,1.021
192,28/01/2019,11:30,01,1022.100,02,28557.496,10.104,39913.164,25.160,25.944,35.017,1.019,03,30284.012,10.220,42196.204,26.762,27.428,33.021,1.020,04,31583.012,10.489,43693.436,27.840,28.401,31.663,1.021
193,28/01/2019,12:00,01,1021.700,02,28419.372,10.107,39717.592,25.025,25.816,35.187,1.019,03,30141.052,10.222,41994.232,26.621,27.296,33.177,1.020,04,31483.896,10.432,43621.756,27.784,28.354,31.762,1.021
194,28/01/2019,12:30,01,1021.400,02,27978.176,10.148,39057.660,24.571,25.387,35.742,1.019,03,28386.270,10.144,39631.760,24.968,25.761,35.228,1.019,04,29854.988,10.236,41580.452,26.333,27.027,33.495,1.020
195,28/01/2019,13:00,01,1020.700,02,26891.966,10.089,37600.400,23.559,24.440,37.186,1.018,03,27531.028,10.109,38473.924,24.164,25.008,36.323,1.018,04,28663.940,10.206,39953.128,25.197,25.970,34.887,1.019
196,28/01/2019,13:30,01,1020.300,02,25809.310,10.074,36101.612,22.529,23.466,38.746,1.017,03,26690.946,10.089,37319.272,23.366,24.258,37.466,1.018,04,28204.608,10.218,39300.404,24.745,25.545,35.455,1.019
197,28/01/2019,14:00,01,1020.000,02,25163.082,10.058,35212.316,21.919,22.888,39.741,1.017,03,26043.240,10.074,36428.936,22.753,23.679,38.398,1.017,04,27678.920,10.193,38593.936,24.254,25.086,36.129,1.019
198,28/01/2019,14:30,01,1019.600,02,24899.076,10.039,34860.712,21.678,22.659,40.162,1.017,03,25674.888,10.068,35918.636,22.403,23.347,38.949,1.017,04,28167.948,10.221,39245.976,24.708,25.510,35.501,1.019
199,28/01/2019,15:00,01,1019.300,02,24789.108,10.060,34687.284,21.561,22.547,40.340,1.016,03,26186.102,10.048,36653.836,22.905,23.825,38.188,1.018,04,27773.576,10.159,38761.188,24.367,25.195,36.005,1.019
200,28/01/2019,15:30,01,1019.200,02,25220.780,10.044,35305.996,21.982,22.949,39.650,1.017,03,26509.762,10.053,37101.684,23.213,24.116,37.722,1.018,04,27506.760,10.163,38384.872,24.107,24.950,36.355,1.018
201,28/01/2019,16:00,01,1019.200,02,24816.166,10.053,34731.208,21.590,22.575,40.296,1.016,03,26802.776,10.077,37487.964,23.481,24.367,37.310,1.018,04,28800.436,10.234,40113.884,25.311,26.074,34.722,1.019
202,28/01/2019,16:30,01,1019.200,02,24119.440,10.034,33773.312,20.937,21.953,41.460,1.016,03,26886.222,10.107,37574.760,23.543,24.424,37.194,1.018,04,29994.178,10.352,41645.572,26.390,27.070,33.340,1.020
203,28/01/2019,17:00,01,1019.000,02,24970.508,10.024,34974.652,21.754,22.734,40.047,1.017,03,26870.938,10.119,37541.608,23.521,24.402,37.215,1.018,04,31404.908,10.551,43375.404,27.622,28.194,31.842,1.021
204,28/01/2019,17:30,01,1019.000,02,25485.452,10.030,35690.284,22.243,23.199,39.238,1.017,03,27912.050,10.199,38912.448,24.475,25.293,35.827,1.019,04,32325.608,10.692,44481.636,28.416,28.913,30.935,1.022
205,28/01/2019,18:00,01,1018.700,02,25601.240,10.068,35815.784,22.332,23.280,39.061,1.017,03,29124.528,10.380,40408.400,25.529,26.265,34.335,1.020,04,33940.516,10.852,46508.776,29.870,30.231,29.463,1.023
206,28/01/2019,18:30,01,1018.600,02,26109.498,10.049,36545.324,22.831,23.754,38.300,1.017,03,31166.410,10.495,43110.064,27.430,28.022,32.086,1.021,04,34678.936,10.945,47405.356,30.519,30.813,28.836,1.023
207,28/01/2019,19:00,01,1018.600,02,29475.062,10.251,41035.352,25.954,26.673,33.927,1.020,03,32144.396,10.629,44305.940,28.286,28.799,31.110,1.022,04,34647.084,10.939,47369.156,30.492,30.790,28.862,1.023
208,28/01/2019,19:30,01,1018.700,02,27235.872,10.086,38084.152,23.893,24.755,36.716,1.018,03,33468.926,10.775,45954.760,29.468,29.871,29.878,1.023,04,34450.336,10.909,47137.172,30.324,30.639,29.027,1.023
209,28/01/2019,20:00,01,1018.600,02,27736.186,10.094,38775.556,24.371,25.204,36.054,1.019,03,32151.328,10.653,44286.816,28.275,28.786,31.103,1.022,04,34030.172,10.881,46595.692,29.935,30.287,29.386,1.023
210,28/01/2019,20:30,01,1018.500,02,27460.758,10.006,38480.988,24.160,25.013,36.416,1.019,03,31851.598,10.560,43981.632,28.050,28.588,31.396,1.021,04,34264.412,10.893,46902.360,30.155,30.487,29.185,1.023
211,28/01/2019,21:00,01,1018.400,02,28015.920,10.050,39213.436,24.670,25.489,35.694,1.019,03,29619.672,10.255,41231.452,26.092,26.800,33.761,1.020,04,34559.612,10.925,47265.980,30.417,30.723,28.936,1.023
212,28/01/2019,21:30,01,1018.500,02,26532.352,9.786,37400.300,23.396,24.310,37.690,1.018,03,28983.652,10.218,40385.924,25.499,26.251,34.502,1.020,04,33427.386,10.692,45998.160,29.490,29.899,29.916,1.023
213,28/01/2019,22:00,01,1018.500,02,26768.776,9.768,37751.672,23.636,24.539,37.357,1.018,03,28427.566,10.136,39697.684,25.013,25.803,35.177,1.019,04,32596.522,10.664,44887.296,28.700,29.177,30.678,1.022
214,28/01/2019,22:30,01,1018.300,02,26861.336,9.763,37887.964,23.730,24.627,37.228,1.018,03,28273.996,10.133,39486.624,24.867,25.666,35.368,1.019,04,31167.260,10.565,43031.496,27.382,27.970,32.085,1.021
215,28/01/2019,23:00,01,1018.200,02,27223.378,9.875,38282.372,24.011,24.884,36.733,1.018,03,28466.208,10.155,39731.376,25.038,25.825,35.129,1.019,04,31412.870,10.528,43413.120,27.646,28.219,31.834,1.021
216,28/01/2019,23:30,01,1018.200,02,27034.348,9.772,38122.224,23.892,24.779,36.990,1.018,03,28141.458,10.058,39380.456,24.786,25.597,35.535,1.019,04,31295.778,10.567,43206.856,27.505,28.084,31.953,1.021
217,29/01/2019,00:00,01,1018.200,02,26230.190,9.662,37098.328,23.178,24.114,38.124,1.018,03,27385.388,9.921,38462.812,24.140,25.001,36.516,1.018,04,30058.160,10.376,41707.744,26.436,27.110,33.269,1.020
218,29/01/2019,00:30,01,1017.900,02,26045.872,9.609,36890.692,23.031,23.979,38.394,1.018,03,26754.972,9.818,37681.764,23.592,24.493,37.376,1.018,04,28102.098,10.092,39289.244,24.726,25.538,35.585,1.019
219,29/01/2019,01:00,01,1018.100,02,25900.500,9.549,36744.156,22.926,23.884,38.609,1.018,03,26981.778,9.806,38013.372,23.820,24.709,37.062,1.018,04,28933.088,10.104,40438.628,25.525,26.285,34.563,1.020
