Report Date:,11/22/2019 23:29:53
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630411_2019-09-27_09-34-15-429.wsl
Create Date,9/27/2019 16:33:28

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,3 ft (SN630411)
Serial Number,630411
Firmware Version,2.01
Hardware Version,4
Device Address,1
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,11

Log Configuration
,Log Name,2019-06-23_630411
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:10:33 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:10:59 ,Used Battery: 11% Used Memory: 14%   User Name: Ian
9/27/2019 16:21:39 ,Used Battery: 17% Used Memory: 20%   User Name: Ian
9/27/2019 16:21:39 ,Manual Stop Command


Log Data:
Record Count,9186

Sensors,1

 ,1,630411,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/25/2019 06:00:00 ,                                  11.677,                               37267.891,                               49988.234,                                  32.452,                                   1.025,
6/25/2019 06:15:00 ,                                  11.763,                               37264.270,                               49873.242,                                  32.378,                                   1.025,
6/25/2019 06:30:00 ,                                  11.947,                               37400.859,                               49822.340,                                  32.361,                                   1.025,
6/25/2019 06:45:00 ,                                  11.989,                               37396.324,                               49762.531,                                  32.322,                                   1.025,
6/25/2019 07:00:00 ,                                  11.873,                               37337.734,                               49831.320,                                  32.359,                                   1.025,
6/25/2019 07:15:00 ,                                  11.901,                               37332.094,                               49788.555,                                  32.331,                                   1.025,
6/25/2019 07:30:00 ,                                  11.905,                               37333.508,                               49785.523,                                  32.330,                                   1.025,
6/25/2019 07:45:00 ,                                  12.005,                               37338.832,                               49666.637,                                  32.254,                                   1.024,
6/25/2019 08:00:00 ,                                  12.070,                               37342.348,                               49589.410,                                  32.205,                                   1.024,
6/25/2019 08:15:00 ,                                  12.179,                               37388.551,                               49513.754,                                  32.161,                                   1.024,
6/25/2019 08:30:00 ,                                  12.236,                               37434.770,                               49503.828,                                  32.160,                                   1.024,
6/25/2019 08:45:00 ,                                  12.194,                               37387.898,                               49493.934,                                  32.149,                                   1.024,
6/25/2019 09:00:00 ,                                  12.231,                               37375.492,                               49431.188,                                  32.107,                                   1.024,
6/25/2019 09:15:00 ,                                  12.312,                               37411.969,                               49377.938,                                  32.077,                                   1.024,
6/25/2019 09:30:00 ,                                  12.310,                               37329.086,                               49271.000,                                  31.999,                                   1.024,
6/25/2019 09:45:00 ,                                  12.175,                               37300.801,                               49402.172,                                  32.080,                                   1.024,
6/25/2019 10:00:00 ,                                  12.109,                               37304.832,                               49490.637,                                  32.138,                                   1.024,
6/25/2019 10:15:00 ,                                  11.965,                               37263.082,                               49615.309,                                  32.213,                                   1.024,
