Report Date:,11/22/2019 23:30:03
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630427_2019-09-27_10-02-48-983.wsl
Create Date,9/27/2019 17:02:41

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,11ft (630427)
Serial Number,630427
Firmware Version,2.01
Hardware Version,4
Device Address,3
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,10

Log Configuration
,Log Name,2019-06-23_630427
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:15:15 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:15:23 ,Used Battery: 10% Used Memory: 14%   User Name: Ian
9/27/2019 16:50:46 ,Used Battery: 16% Used Memory: 20%   User Name: Ian
9/27/2019 16:50:47 ,Manual Stop Command


Log Data:
Record Count,9188

Sensors,1

 ,1,630427,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/25/2019 07:00:00 ,                                   9.776,                               35823.352,                               50511.297,                                  32.606,                                   1.025,
6/25/2019 07:15:00 ,                                   9.715,                               35813.094,                               50579.016,                                  32.646,                                   1.025,
6/25/2019 07:30:00 ,                                   9.731,                               35773.016,                               50500.410,                                  32.592,                                   1.025,
6/25/2019 07:45:00 ,                                  10.245,                               36108.344,                               50277.773,                                  32.497,                                   1.025,
6/25/2019 08:00:00 ,                                  10.501,                               36273.242,                               50165.137,                                  32.447,                                   1.025,
6/25/2019 08:15:00 ,                                  10.992,                               36560.109,                               49915.379,                                  32.324,                                   1.025,
6/25/2019 08:30:00 ,                                  11.066,                               36602.156,                               49875.902,                                  32.304,                                   1.025,
6/25/2019 08:45:00 ,                                  11.277,                               36722.977,                               49768.098,                                  32.250,                                   1.025,
6/25/2019 09:00:00 ,                                  11.180,                               36647.875,                               49790.266,                                  32.255,                                   1.025,
6/25/2019 09:15:00 ,                                  11.312,                               36754.652,                               49765.043,                                  32.251,                                   1.025,
6/25/2019 09:30:00 ,                                  11.154,                               36647.574,                               49823.945,                                  32.276,                                   1.025,
6/25/2019 09:45:00 ,                                  10.749,                               36386.770,                               49994.613,                                  32.353,                                   1.025,
6/25/2019 10:00:00 ,                                  10.795,                               36412.738,                               49970.207,                                  32.341,                                   1.025,
6/25/2019 10:15:00 ,                                  10.774,                               36396.148,                               49975.422,                                  32.342,                                   1.025,
6/25/2019 10:30:00 ,                                  10.902,                               36453.438,                               49886.055,                                  32.293,                                   1.025,
6/25/2019 10:45:00 ,                                  11.019,                               36520.430,                               49825.578,                                  32.262,                                   1.025,
6/25/2019 11:00:00 ,                                  10.904,                               36459.711,                               49892.012,                                  32.297,                                   1.025,
6/25/2019 11:15:00 ,                                  10.906,                               36484.348,                               49922.988,                                  32.320,                                   1.025,
6/25/2019 11:30:00 ,                                  10.713,                               36355.449,                               49999.871,                                  32.353,                                   1.025,
6/25/2019 11:45:00 ,                                  10.709,                               36369.637,                               50023.477,                                  32.369,                                   1.025,
6/25/2019 12:00:00 ,                                  10.814,                               36454.523,                               50002.309,                                  32.366,                                   1.025,
6/25/2019 12:15:00 ,                                  10.668,                               36369.656,                               50078.195,                                  32.404,                                   1.025,
6/25/2019 12:30:00 ,                                  10.609,                               36337.957,                               50112.473,                                  32.422,                                   1.025,
6/25/2019 12:45:00 ,                                  10.588,                               36342.184,                               50146.203,                                  32.443,                                   1.025,
6/25/2019 13:00:00 ,                                  10.524,                               36296.191,                               50167.051,                                  32.451,                                   1.025,
6/25/2019 13:15:00 ,                                  10.516,                               36291.141,                               50170.973,                                  32.453,                                   1.025,
6/25/2019 13:30:00 ,                                  10.513,                               36284.543,                               50165.980,                                  32.449,                                   1.025,
6/25/2019 13:45:00 ,                                  10.337,                               36192.770,                               50271.586,                                  32.503,                                   1.025,
6/25/2019 14:00:00 ,                                  10.389,                               36219.844,                               50240.414,                                  32.487,                                   1.025,
6/25/2019 14:15:00 ,                                  10.430,                               36219.055,                               50184.621,                                  32.452,                                   1.025,
6/25/2019 14:30:00 ,                                  10.609,                               36285.934,                               50041.102,                                  32.370,                                   1.025,
6/25/2019 14:45:00 ,                                  10.558,                               36253.109,                               50061.793,                                  32.379,                                   1.025,
6/25/2019 15:00:00 ,                                  10.584,                               36296.770,                               50088.367,                                  32.401,                                   1.025,
6/25/2019 15:15:00 ,                                  10.752,                               36345.402,                               49934.906,                                  32.311,                                   1.025,
6/25/2019 15:30:00 ,                                  10.752,                               36358.664,                               49952.777,                                  32.323,                                   1.025,
6/25/2019 15:45:00 ,                                  10.918,                               36381.168,                               49766.258,                                  32.208,                                   1.025,
6/25/2019 16:00:00 ,                                  10.733,                               36309.680,                               49910.469,                                  32.291,                                   1.025,
6/25/2019 16:15:00 ,                                  10.751,                               36257.781,                               49815.000,                                  32.224,                                   1.025,
6/25/2019 16:30:00 ,                                  11.022,                               36462.844,                               49743.594,                                  32.204,                                   1.025,
6/25/2019 16:45:00 ,                                  10.878,                               36363.863,                               49795.500,                                  32.225,                                   1.025,
6/25/2019 17:00:00 ,                                  10.964,                               36425.391,                               49767.266,                                  32.214,                                   1.025,
6/25/2019 17:15:00 ,                                  11.039,                               36460.676,                               49717.875,                                  32.187,                                   1.025,
6/25/2019 17:30:00 ,                                  11.035,                               36533.207,                               49821.984,                                  32.262,                                   1.025,
6/25/2019 17:45:00 ,                                  11.012,                               36502.230,                               49810.563,                                  32.251,                                   1.025,
6/25/2019 18:00:00 ,                                  11.161,                               36600.914,                               49751.344,                                  32.225,                                   1.025,
6/25/2019 18:15:00 ,                                  10.905,                               36458.176,                               49888.715,                                  32.295,                                   1.025,
6/25/2019 18:30:00 ,                                  11.040,                               36543.105,                               49829.680,                                  32.268,                                   1.025,
6/25/2019 18:45:00 ,                                  11.110,                               36540.188,                               49734.336,                                  32.207,                                   1.025,
6/25/2019 19:00:00 ,                                  11.313,                               36600.387,                               49555.137,                                  32.100,                                   1.024,
6/25/2019 19:15:00 ,                                  11.310,                               36621.074,                               49587.105,                                  32.123,                                   1.024,
6/25/2019 19:30:00 ,                                  11.667,                               36777.918,                               49343.941,                                  31.986,                                   1.024,
6/25/2019 19:45:00 ,                                  11.718,                               36794.027,                               49301.070,                                  31.961,                                   1.024,
6/25/2019 20:00:00 ,                                  11.715,                               36821.594,                               49342.234,                                  31.990,                                   1.024,
6/25/2019 20:15:00 ,                                  12.029,                               36968.844,                               49144.133,                                  31.879,                                   1.024,
6/25/2019 20:30:00 ,                                  12.137,                               36968.906,                               49009.430,                                  31.793,                                   1.024,
6/25/2019 20:45:00 ,                                  12.197,                               36954.441,                               48915.699,                                  31.731,                                   1.024,
6/25/2019 21:00:00 ,                                  12.323,                               36975.551,                               48788.563,                                  31.652,                                   1.024,
6/25/2019 21:15:00 ,                                  12.280,                               36906.578,                               48750.520,                                  31.620,                                   1.024,
6/25/2019 21:30:00 ,                                  12.369,                               36991.793,                               48753.813,                                  31.632,                                   1.024,
6/25/2019 21:45:00 ,                                  12.322,                               36980.164,                               48795.531,                                  31.657,                                   1.024,
6/25/2019 22:00:00 ,                                  12.434,                               37038.250,                               48735.371,                                  31.625,                                   1.024,
6/25/2019 22:15:00 ,                                  12.343,                               37031.469,                               48838.531,                                  31.690,                                   1.024,
6/25/2019 22:30:00 ,                                  12.324,                               36983.965,                               48798.547,                                  31.659,                                   1.024,
6/25/2019 22:45:00 ,                                  12.431,                               37012.965,                               48705.945,                                  31.603,                                   1.024,
6/25/2019 23:00:00 ,                                  12.234,                               36960.770,                               48879.094,                                  31.709,                                   1.024,
6/25/2019 23:15:00 ,                                  11.928,                               36847.969,                               49108.965,                                  31.844,                                   1.024,
6/25/2019 23:30:00 ,                                  11.850,                               36801.102,                               49144.727,                                  31.862,                                   1.024,
6/25/2019 23:45:00 ,                                  11.705,                               36758.941,                               49270.602,                                  31.937,                                   1.024,
6/26/2019 00:00:00 ,                                  11.471,                               36661.000,                               49435.566,                                  32.031,                                   1.024,
6/26/2019 00:15:00 ,                                  11.427,                               36646.715,                               49472.363,                                  32.053,                                   1.024,
6/26/2019 00:30:00 ,                                  11.430,                               36673.480,                               49504.672,                                  32.077,                                   1.024,
6/26/2019 00:45:00 ,                                  11.329,                               36618.133,                               49559.254,                                  32.105,                                   1.024,
6/26/2019 01:00:00 ,                                  10.991,                               36463.906,                               49785.223,                                  32.230,                                   1.025,
